,Sentence_id,Text,Target,Category,Polarity
71,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,FOOD#QUALITY,positive
72,1074868:2,Surprisingly nothing could be further from the truth.,NULL,RESTAURANT#MISCELLANEOUS,positive
73,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,RESTAURANT#MISCELLANEOUS,positive
74,1074868:4,The food was well prepared and the service impecable.,food,FOOD#QUALITY,positive
75,1074868:4,The food was well prepared and the service impecable.,service,SERVICE#GENERAL,positive
76,1074868:5,I'm going back.,NULL,RESTAURANT#GENERAL,positive
77,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,NULL,AMBIENCE#GENERAL,positive
78,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#QUALITY,positive
79,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#STYLE_OPTIONS,positive
80,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#PRICES,positive
81,1084394:4,I will be going back and heartily recommend it!,NULL,RESTAURANT#GENERAL,positive
82,1086415:1,"It is terrific, as is the value.",NULL,FOOD#QUALITY,positive
83,1086415:1,"It is terrific, as is the value.",NULL,FOOD#PRICES,positive
84,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#STYLE_OPTIONS,positive
85,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#QUALITY,positive
86,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#PRICES,positive
87,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",dishes,FOOD#QUALITY,positive
88,1086415:5,Go hungry and enjoy.,NULL,RESTAURANT#GENERAL,positive
89,1086478:0,"The food here is rather good, but only if you like to wait for it.",food,FOOD#QUALITY,positive
90,1086478:0,"The food here is rather good, but only if you like to wait for it.",NULL,SERVICE#GENERAL,negative
91,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,FOOD#QUALITY,positive
92,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,FOOD#QUALITY,positive
93,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,FOOD#QUALITY,positive
94,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,FOOD#QUALITY,negative
95,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,FOOD#QUALITY,negative
96,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE#GENERAL,negative
97,1086478:3,"The kitchen however, is almost always slow.",kitchen,SERVICE#GENERAL,negative
98,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD#QUALITY,negative
99,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,AMBIENCE#GENERAL,positive
100,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",NULL,RESTAURANT#MISCELLANEOUS,positive
101,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,LOCATION#GENERAL,positive
102,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,SERVICE#GENERAL,positive
103,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,FOOD#QUALITY,positive
104,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,FOOD#PRICES,positive
105,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD#QUALITY,positive
106,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,AMBIENCE#GENERAL,positive
107,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE#GENERAL,positive
108,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,FOOD#QUALITY,positive
109,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,FOOD#QUALITY,negative
110,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,FOOD#STYLE_OPTIONS,positive
111,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,FOOD#QUALITY,negative
112,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,AMBIENCE#GENERAL,positive
113,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,FOOD#QUALITY,neutral
114,1118167:1,IT WAS HORRIBLE.,NULL,RESTAURANT#GENERAL,negative
115,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,FOOD#QUALITY,negative
116,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,FOOD#QUALITY,negative
117,1118167:3,It looked like shredded cheese partly done - still in strips.,NULL,FOOD#QUALITY,negative
118,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,NULL,RESTAURANT#GENERAL,negative
119,1119578:1,The pizza is overpriced and soggy.,pizza,FOOD#QUALITY,negative
120,1119578:1,The pizza is overpriced and soggy.,pizza,FOOD#PRICES,negative
121,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,FOOD#QUALITY,positive
122,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,FOOD#QUALITY,negative
123,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,FOOD#QUALITY,negative
124,1119578:3,"A big disappointment, all around.",NULL,RESTAURANT#GENERAL,negative
125,1123262:0,I think I've had some the best meals of my life at minnow.,meals,FOOD#QUALITY,positive
126,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,FOOD#QUALITY,positive
127,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,DRINKS#STYLE_OPTIONS,positive
128,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,FOOD#STYLE_OPTIONS,positive
129,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD#QUALITY,positive
130,1123262:3,Worth the trip from Manhattan.,NULL,RESTAURANT#GENERAL,positive
131,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,FOOD#QUALITY,positive
132,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,portion,FOOD#STYLE_OPTIONS,positive
133,1125006:3,My wife had the fried shrimp which are huge and loved it.,fried shrimp,FOOD#STYLE_OPTIONS,positive
134,1125006:3,My wife had the fried shrimp which are huge and loved it.,fried shrimp,FOOD#QUALITY,positive
135,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,RESTAURANT#GENERAL,positive
136,1125284:1,This place is the most Japanese it can ever get.,place,RESTAURANT#MISCELLANEOUS,positive
137,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,RESTAURANT#MISCELLANEOUS,positive
138,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,FOOD#STYLE_OPTIONS,positive
139,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,FOOD#QUALITY,positive
140,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,SERVICE#GENERAL,positive
141,1125284:3,This place is worth an one-hour drive.,place,RESTAURANT#GENERAL,positive
142,1125284:4,"I am so coming back here again, as much as I can.",NULL,RESTAURANT#GENERAL,positive
143,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,RESTAURANT#GENERAL,positive
144,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,AMBIENCE#GENERAL,positive
145,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,FOOD#QUALITY,positive
146,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,AMBIENCE#GENERAL,positive
147,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,FOOD#QUALITY,positive
148,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE#GENERAL,positive
149,1126814:3,Decent wine at reasonable prices.,wine,DRINKS#QUALITY,neutral
150,1126814:3,Decent wine at reasonable prices.,wine,DRINKS#PRICES,positive
151,1126814:4,Have been dozens of times and never failed to enjoy the experience.,NULL,RESTAURANT#GENERAL,positive
152,1126814:5,"Our teenage kids love it, too.",NULL,RESTAURANT#GENERAL,positive
153,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,RESTAURANT#GENERAL,positive
154,1126886:1,This is by far my favorite place in the neighborhood.,place,RESTAURANT#GENERAL,positive
155,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,SERVICE#GENERAL,positive
156,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,AMBIENCE#GENERAL,positive
157,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,FOOD#QUALITY,positive
158,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,FOOD#STYLE_OPTIONS,positive
159,1126886:4,I'm partial to the Gnocchi.,Gnocchi,RESTAURANT#GENERAL,positive
160,1131595:0,This place is incredibly tiny.,place,AMBIENCE#GENERAL,negative
161,1131595:1,They refuse to seat parties of 3 or more on weekends.,NULL,SERVICE#GENERAL,negative
162,1131595:2,The hostess is rude to the point of being offensive.,hostess,SERVICE#GENERAL,negative
163,1131595:3,The food was bland oily.,food,FOOD#QUALITY,negative
164,1131595:4,I just don't understand all the hype...,NULL,RESTAURANT#GENERAL,negative
165,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",food,FOOD#QUALITY,positive
166,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",wine,DRINKS#QUALITY,positive
167,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",service,SERVICE#GENERAL,positive
168,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE#GENERAL,positive
169,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,DRINKS#QUALITY,positive
170,1138996:4,"When we sat, we got great and fast service.",service,SERVICE#GENERAL,positive
171,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE#GENERAL,positive
172,1138996:6,Make sure you try this place as often as you can.,place,RESTAURANT#GENERAL,positive
173,1145510:0,This is a fun restaurant to go to.,restaurant,RESTAURANT#GENERAL,positive
174,1145510:1,The pizza is yummy and I like the atmoshpere.,pizza,FOOD#QUALITY,positive
175,1145510:1,The pizza is yummy and I like the atmoshpere.,atmoshpere,AMBIENCE#GENERAL,positive
176,1145510:2,But the pizza is way to expensive.,pizza,FOOD#PRICES,negative
177,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD#QUALITY,negative
178,1147082:1,Sauce was watery and the food didn't have much flavor.,Sauce,FOOD#QUALITY,negative
179,1147082:1,Sauce was watery and the food didn't have much flavor.,food,FOOD#QUALITY,negative
180,1147082:3,I don't think I would go again.,NULL,RESTAURANT#GENERAL,negative
181,1147211:0,This place is great.,place,RESTAURANT#GENERAL,positive
182,1147211:1,I had a huge group for my birthday and we were well taken care of.,NULL,SERVICE#GENERAL,positive
183,1147211:2,The waitress was very patient with us and the food is phenomenal!,waitress,SERVICE#GENERAL,positive
184,1147211:2,The waitress was very patient with us and the food is phenomenal!,food,FOOD#QUALITY,positive
185,1147211:3,"Service was prompt, friendly and great.",Service,SERVICE#GENERAL,positive
186,1147211:4,Slightly on the pricey side but worth it!,NULL,RESTAURANT#PRICES,negative
187,1147211:4,Slightly on the pricey side but worth it!,NULL,RESTAURANT#GENERAL,positive
188,1153034:0,Great pizza and fantastic service.,pizza,FOOD#QUALITY,positive
189,1153034:0,Great pizza and fantastic service.,service,SERVICE#GENERAL,positive
190,1153034:1,"There was a small wait, but shorter than I expected.",wait,SERVICE#GENERAL,positive
191,1153034:2,Located at the end of a magnificent block.,NULL,LOCATION#GENERAL,positive
192,1153034:3,Very cozy and warm inside.....,NULL,AMBIENCE#GENERAL,positive
193,1153034:4,I will be back!,NULL,RESTAURANT#GENERAL,positive
194,1154550:0,This is the best sushi in new york city - hands down.,sushi,FOOD#QUALITY,positive
195,1154550:1,The place is small and cramped but the food is fantastic.,place,AMBIENCE#GENERAL,negative
196,1154550:1,The place is small and cramped but the food is fantastic.,food,FOOD#QUALITY,positive
197,1154550:2,Get the tuna of gari.,tuna of gari,FOOD#QUALITY,positive
198,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,FOOD#QUALITY,positive
199,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,FOOD#QUALITY,positive
200,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,RESTAURANT#GENERAL,positive
201,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD#STYLE_OPTIONS,positive
202,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,AMBIENCE#GENERAL,negative
203,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",NULL,RESTAURANT#PRICES,positive
204,1162037:3,It's all about the food !!,food,FOOD#QUALITY,positive
205,1167434:1,first it took us a long time to find the place.,place,RESTAURANT#MISCELLANEOUS,negative
206,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD#STYLE_OPTIONS,negative
207,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,FOOD#STYLE_OPTIONS,neutral
208,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,FOOD#QUALITY,negative
209,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,FOOD#QUALITY,negative
210,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",NULL,FOOD#QUALITY,negative
211,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,NULL,SERVICE#GENERAL,positive
212,1175958:1,"Try the crunchy tuna, it is to die for.",crunchy tuna,FOOD#QUALITY,positive
213,1175958:2,"Try everything for that matter, it is all good.",NULL,FOOD#QUALITY,positive
214,1175958:3,I have been going there since it opened and I can't get enough.,NULL,RESTAURANT#GENERAL,positive
215,1189674:0,First went here to enjoy their garden terrace.,garden terrace,AMBIENCE#GENERAL,positive
216,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,FOOD#QUALITY,positive
217,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,SERVICE#GENERAL,positive
218,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD#STYLE_OPTIONS,positive
219,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,AMBIENCE#GENERAL,positive
220,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,AMBIENCE#GENERAL,negative
221,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,DRINKS#STYLE_OPTIONS,positive
222,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,DRINKS#QUALITY,positive
223,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,DRINKS#PRICES,positive
224,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",NULL,AMBIENCE#GENERAL,neutral
225,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,AMBIENCE#GENERAL,positive
226,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,FOOD#QUALITY,positive
227,1189674:6,"Have recommended the place to friends, always gets good response.",place,RESTAURANT#MISCELLANEOUS,positive
228,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,FOOD#QUALITY,positive
229,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,FOOD#QUALITY,positive
230,1199292:3,I take all my NYC guests to VT's.,VT's,RESTAURANT#MISCELLANEOUS,positive
231,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood,LOCATION#GENERAL,positive
232,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,FOOD#QUALITY,positive
233,1199480:1,I've been there three times and have always had wonderful experiences.,NULL,RESTAURANT#GENERAL,positive
234,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,AMBIENCE#GENERAL,positive
235,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,SERVICE#GENERAL,positive
236,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,NULL,RESTAURANT#MISCELLANEOUS,positive
237,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Mizu,RESTAURANT#GENERAL,positive
238,1205520:1,Even after they overcharged me the last time I was there.,NULL,SERVICE#GENERAL,negative
239,1205520:2,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,FOOD#QUALITY,positive
240,1205520:3,it's delicious!,NULL,FOOD#QUALITY,positive
241,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",Moules,FOOD#QUALITY,positive
242,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,FOOD#QUALITY,negative
243,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',SERVICE#GENERAL,negative
244,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",NULL,SERVICE#GENERAL,negative
245,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,NULL,SERVICE#GENERAL,negative
246,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,FOOD#QUALITY,negative
247,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,FOOD#STYLE_OPTIONS,negative
248,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,FOOD#PRICES,negative
249,1221938:0,The drinks are always welll made and wine selection is fairly priced.,drinks,DRINKS#QUALITY,positive
250,1221938:0,The drinks are always welll made and wine selection is fairly priced.,wine selection,DRINKS#PRICES,positive
251,1221938:1,Try their chef's specials-- they are to die for.,chef's specials,FOOD#QUALITY,positive
252,1221938:2,"Service is not exactly five star, but thats not really a big deal.",Service,SERVICE#GENERAL,neutral
253,1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE#GENERAL,positive
